id,repo_name,forks,open_issues,size,watchers,stargazers_count,Score
103749180,OpenGenus/cosmos,3318,2429,45979,12801,12801,15674.5
2340549,playframework/playframework,3980,483,101603,11982,11982,14213.5
886774,rundeck/rundeck,807,562,168525,4360,4360,5044.5
16689170,ivanperez-keera/Yampa,36,8,5021,310,310,332
154521850,andmorefine/since-co,0,586,25366,1,1,294
1783195,sbt/sbt-aspectj,29,12,176,74,74,94.5
2610812,ComputerScienceHouse/Constitution,67,14,3973,47,47,87.5
13715270,sbt/sbt-findbugs,12,9,227,47,47,57.5
248724103,oceanprotocol/contracts,23,16,62440,36,36,55.5
19571553,contentful/contentful-management.rb,29,17,1237,30,30,53
129286260,okta/samples-js-react-native,42,5,2410,22,22,45.5
