id,repo_name,forks,open_issues,size,watchers,stargazers_count
408674383,atharva1996/WolfJobs,0,9,695,1,1
154521850,andmorefine/since-co,0,586,25366,1,1
2610812,ComputerScienceHouse/Constitution,67,14,3973,47,47
129286260,okta/samples-js-react-native,42,5,2410,22,22
23905514,JJ/CC,34,36,3790,7,7
27771690,isra00/neo-transposer,0,49,75150,5,5
408702101,maniizu3110/tennis,0,11,36657,0,0
886774,rundeck/rundeck,807,562,168525,4360,4360
414013088,rfougy/acme-movie-api,0,1,1960,0,0
103749180,OpenGenus/cosmos,3318,2429,45979,12801,12801
16689170,ivanperez-keera/Yampa,36,8,5021,310,310
49302854,sphinx-doc/sphinx-doc-translations,10,2,396311,15,15
412656499,zielin0802/Python-Unit-Testing,0,4,16,0,0
45990650,newtheatre/nt-tickets,4,36,10710,9,9
310315711,oceanprotocol/list-purgatory,8,6,1089,2,2
195814316,oceanprotocol/operator-engine,7,10,408,5,5
248724103,oceanprotocol/contracts,23,16,62440,36,36
2340549,playframework/playframework,3980,483,101603,11982,11982
19571553,contentful/contentful-management.rb,29,17,1237,30,30
195812082,oceanprotocol/operator-service,4,8,209,4,4
18580339,sbt/sbt-gzip,7,2,24,23,23
15976582,sbt/sbt-sdlc,2,1,21,7,7
13715270,sbt/sbt-findbugs,12,9,227,47,47
1783195,sbt/sbt-aspectj,29,12,176,74,74
