Repo,Total number of issues examined,No of matches in title,No of matches in body,Total number of matches,Number of reactions in matches,Number of comments in matches
OpenGenus/cosmos,6257,24,28,33,39,101
playframework/playframework,10979,60,132,169,17.0,380.0
rundeck/rundeck,6756,27,26,43,5.0,26.0
ivanperez-keera/Yampa,194,14,18,21,0,20
andmorefine/since-co,1367,2,4,4,0,2
sbt/sbt-aspectj,49,1,1,1,0,0
ComputerScienceHouse/Constitution,188,2,1,2,0,0
sbt/sbt-findbugs,27,1,1,1,0,0
oceanprotocol/contracts,366,5,8,11,0,13
contentful/contentful-management.rb,232,1,1,1,0,1
okta/samples-js-react-native,102,5,2,6,0,1
