id,repo_name,forks,open_issues,size,watchers,stargazers_count,Score,Issues
103749180,OpenGenus/cosmos,3318,2429,45979,12801,12801,15674.5,https://github.com/OpenGenus/cosmos/issues
2340549,playframework/playframework,3980,483,101603,11982,11982,14213.5,https://github.com/playframework/playframework/issues
886774,rundeck/rundeck,807,562,168525,4360,4360,5044.5,https://github.com/rundeck/rundeck/issues
16689170,ivanperez-keera/Yampa,36,8,5021,310,310,332,https://github.com/ivanperez-keera/Yampa/issues
154521850,andmorefine/since-co,0,586,25366,1,1,294,https://github.com/andmorefine/since-co/issues
1783195,sbt/sbt-aspectj,29,12,176,74,74,94.5,https://github.com/sbt/sbt-aspectj/issues
2610812,ComputerScienceHouse/Constitution,67,14,3973,47,47,87.5,https://github.com/ComputerScienceHouse/Constitution/issues
13715270,sbt/sbt-findbugs,12,9,227,47,47,57.5,https://github.com/sbt/sbt-findbugs/issues
248724103,oceanprotocol/contracts,23,16,62440,36,36,55.5,https://github.com/oceanprotocol/contracts/issues
19571553,contentful/contentful-management.rb,29,17,1237,30,30,53,https://github.com/contentful/contentful-management.rb/issues
129286260,okta/samples-js-react-native,42,5,2410,22,22,45.5,https://github.com/okta/samples-js-react-native/issues
